asv	origin	relative_abundance
ASV 292 Sh765B-AG-111	Modern marine	7.185541188924151e-5
ASV 293 Pseudomonas	Old saline	1.894152736153851e-4
ASV 294 Candidatus Azambacteria	Modern marine	6.334292406961011e-5
ASV 295 Ferritrophicum	Modern marine	8.963148939494237e-5
ASV 296 Latescibacteria	Modern marine	6.209108762554667e-5
ASV 297 Lentimicrobiaceae	Meteoric	5.14238442677319e-4
ASV 298 Candidatus Kerfeldbacteria	Modern marine	6.008814931504517e-5
ASV 299 GIF3	Meteoric	7.45273105329448e-5
ASV 300 Desulfoconvexum	Modern marine	5.608227269404216e-5
ASV 301 Methylomicrobium	Modern marine	5.808521100454367e-5
ASV 302 Zixibacteria	Modern marine	3.17966456792114e-5
ASV 303 Rhodocyclaceae	Modern marine	6.15903530479213e-5
ASV 304 Marinimicrobia (SAR406_clade)	Modern marine	5.808521100454366e-5
ASV 305 Candidatus Falkowbacteria	Modern marine	7.21057791780542e-5
ASV 306 Chitinivibrionia	Modern marine	4.7069050296785386e-5
ASV 307 Aminobacter	Modern marine	6.334292406961011e-5
ASV 308 Desulfobulbaceae	Modern marine	5.783484371573098e-5
ASV 309 Hydrogenophaga	Modern marine	5.7083741849292915e-5
ASV 310 Desulfoconvexum	Modern marine	4.080986807646818e-5
ASV 311 Candidatus Falkowbacteria	Modern marine	4.481574469747119e-5
ASV 312 ABY1	Modern marine	2.0530117682640432e-5
ASV 313 Candidatus Falkowbacteria	Modern marine	4.7069050296785386e-5
ASV 314 Candidatus Falkowbacteria	Modern marine	3.3298849412087534e-5
ASV 315 Paraherbaspirillum	Modern marine	6.008814931504517e-5
ASV 316 Candidatus Falkowbacteria	Modern marine	5.1325294206601085e-5
ASV 317 Subgroup 21	Modern marine	5.583190540522947e-5
ASV 318 Parvibaculum	Modern marine	5.9837782026232484e-5
ASV 319 Brevundimonas	Modern marine	8.762855108444087e-6
ASV 320 Candidatus Falkowbacteria	Modern marine	5.708374184929291e-5
ASV 321 Bacteria	Modern marine	5.458006896116603e-5
ASV 322 Rikenellaceae	Modern marine	3.204701296802409e-5
ASV 323 WS6 (Dojkabacteria)	Modern marine	2.653893261414495e-5
ASV 324 Phenylobacterium	Modern marine	5.032382505135033e-5
ASV 325 Candidatus Falkowbacteria	Modern marine	5.382896709472796e-5
ASV 326 Bacteria	Modern marine	3.1295911101586027e-5
ASV 327 Candidatus Falkowbacteria	Modern marine	5.8335578293356354e-5
ASV 328 67-14	Modern marine	5.007345776253764e-7
ASV 329 Nitrospira	Old saline	5.022374679195818e-6
ASV 330 ADurb.Bin120	Modern marine	5.357859980591528e-5
ASV 331 Fusibacter	Modern marine	4.5316479275096563e-5
ASV 332 Candidatus Falkowbacteria	Modern marine	5.157566149541378e-5
ASV 333 Anaerolineaceae	Modern marine	1.6273873772824733e-5
ASV 334 UBA12411	Modern marine	5.783484371573098e-5
ASV 335 ABY1	Modern marine	5.332823251710259e-5
ASV 336 Omnitrophicaeota	Modern marine	5.332823251710259e-5
ASV 337 Sulfurimonas	Old saline	1.3560411633828707e-4
ASV 338 WOR-1	Modern marine	5.508080353879141e-5
ASV 339 Bacteria	Modern marine	4.381427554222044e-5
ASV 340 Candidatus Falkowbacteria	Modern marine	5.382896709472796e-5
ASV 341 Omnitrophicaeota	Modern marine	5.232676336185184e-5
ASV 342 Denitromonas	Modern marine	4.5566846563909255e-5
ASV 343 Burkholderiaceae	Modern marine	5.332823251710259e-5
ASV 344 Bacteria	Modern marine	4.005876621003012e-5
ASV 345 Desulfobulbaceae	Modern marine	5.007345776253764e-5
ASV 346 FW113	Modern marine	5.182602878422646e-5
ASV 347 Candidatus Kerfeldbacteria	Modern marine	4.03091334988428e-5
ASV 348 Woesearchaeia	Modern marine	4.8320886740848824e-5
ASV 349 Pelolinea	Modern marine	2.0029383105015055e-6
ASV 350 Aquincola	Modern marine	5.95874147374198e-5
ASV 351 Candidatus Azambacteria	Modern marine	3.855656247715399e-5
ASV 352 S-70	Modern marine	3.2547747545649465e-5
ASV 353 Desulfocurvus	Modern marine	4.5316479275096563e-5
ASV 354 Candidatus Falkowbacteria	Modern marine	5.2577130650664524e-5
ASV 355 Subgroup 6	Modern marine	5.4329701672353346e-5
ASV 356 Bacteria	Old saline	1.4636634779370666e-4
ASV 357 WWE3	Modern marine	6.108961847029592e-5
ASV 358 Desulfocurvus	Modern marine	5.032382505135033e-5
ASV 359 Candidatus Peregrinibacteria	Modern marine	1.5272404617573982e-5
ASV 360 Omnitrophicaeota	Modern marine	1.2518364440634412e-6
ASV 361 Solibacteraceae (Subgroup_3)	Modern marine	5.5581538116416785e-5
ASV 362 Gaiellales	Modern marine	1.4521302751135917e-5
ASV 363 Candidatus Falkowbacteria	Modern marine	5.032382505135033e-5
ASV 364 Spirochaeta 2	Modern marine	5.007345776253765e-6
ASV 365 Coxiella	Modern marine	5.182602878422646e-5
ASV 366 Candidatus Falkowbacteria	Modern marine	4.88216213184742e-5
ASV 367 Hydrothermarchaeota	Modern marine	5.082455962897571e-5
ASV 368 WOR-1	Modern marine	1.2518364440634412e-6
ASV 369 Methanomassiliicoccales	Modern marine	3.9808398921217425e-5
ASV 370 Candidatus Falkowbacteria	Modern marine	4.907198860728689e-5
ASV 371 Sulfurimonas	Modern marine	3.7054358744277856e-5
ASV 372 Desulfoconvexum	Modern marine	5.332823251710259e-5
ASV 373 Woesearchaeia	Modern marine	4.381427554222044e-5
ASV 374 Desulfobacteraceae	Modern marine	4.431501011984582e-5
ASV 375 Berkelbacteria	Modern marine	3.17966456792114e-5
ASV 376 Burkholderiaceae	Old saline	1.3919152682342694e-4
ASV 377 Candidatus Falkowbacteria	Modern marine	4.756978487441076e-5
ASV 378 Candidatus Falkowbacteria	Modern marine	4.506611198628388e-5
ASV 379 Bacteria	Modern marine	4.1310602654093556e-5
ASV 380 Desulfosporosinus	Modern marine	4.631794843034732e-5
ASV 381 Syntrophus	Modern marine	4.9823090473724955e-5
ASV 382 Candidatus Falkowbacteria	Modern marine	4.807051945203614e-5
ASV 383 Bacteria	Modern marine	1.4270935462323229e-5
ASV 384 Candidatus Falkowbacteria	Modern marine	5.808521100454366e-5
ASV 385 Candidatus Yanofskybacteria	Modern marine	3.955803163240474e-5
ASV 386 Acinetobacter	Modern marine	3.304848212327484e-5
ASV 387 Bacteria	Modern marine	1.4521302751135915e-5
ASV 388 Burkholderiaceae	Old saline	8.394540535227294e-5
ASV 389 Candidatus Symbiobacter	Modern marine	4.782015216322345e-5
ASV 390 Candidatus Kerfeldbacteria	Modern marine	4.907198860728689e-5
ASV 391 WS2	Modern marine	1.8527179372138928e-5
ASV 392 Syntrophus	Modern marine	7.63620230878699e-5
ASV 393 Desulfocapsa	Modern marine	3.9558031632404734e-5
ASV 394 Candidatus Nomurabacteria	Modern marine	2.378489243720538e-5
ASV 395 Ornatilinea	Modern marine	1.7776077505700863e-5
ASV 396 Pseudomonas	Old saline	1.4277893730856682e-4
ASV 397 Candidatus Falkowbacteria	Modern marine	4.4815744697471193e-5
ASV 398 Bacteria	Modern marine	7.2606513755679586e-6
ASV 399 Thiobacillus	Modern marine	9.113369312781851e-5
ASV 400 Massilia	Old saline	8.609785164335687e-6
ASV 401 Omnitrophicaeota	Modern marine	1.7525710216888175e-6
ASV 402 Candidatus Falkowbacteria	Modern marine	4.2812806386969686e-5
